Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
BUMI,212,0%,212,210,214,206,47551,32430786,682154862,78723103
KPIG,79,-7.0588235294117645%,85,81,87,75,41623,21488009,173666952,8477715
BNBR,95,0%,95,94,95,90,20650,9853937,91634946,25016984
WIRG,77,-3.75%,80,80,85,74,18953,7749525,61666803,919274
COCO,131,-4.37956204379562%,137,132,135,125,17889,7271972,94787099,1865155
INET,344,-0.5780346820809248%,346,336,346,324,28323,6684275,223382170,7697892
IATA,126,-1.5625%,128,126,131,123,14576,5973666,75346636,3940755
MUTU,135,15.384615384615385%,117,117,155,113,29444,5281620,73805104,466051
CUAN,945,-4.060913705583756%,985,955,970,930,44840,4930605,468101552,106235861
BIPI,146,-2.013422818791946%,149,146,148,143,13345,4839551,70437116,9301689
DEWA,418,-1.8779342723004695%,426,420,428,412,21984,4278677,178641206,17007348
KIJA,197,3.684210526315789%,190,187,204,184,18110,4265392,83211609,4102503
DMAS,193,0%,193,190,196,186,15681,3848374,73460445,9302235
DSSA,1100,-0.9009009009009009%,1110,1080,1125,1060,36462,3686352,401583035,211901888
JGLE,77,-1.282051282051282%,78,78,80,76,11081,3441016,26737768,1738807
GSMF,106,-14.516129032258066%,124,140,148,106,15239,2941913,36945692,1638422
KOTA,202,0%,202,199,208,193,14350,2846591,56571457,2130330
BULL,428,1.4218009478672986%,422,422,430,412,17372,2617421,110183998,6631619
BWPT,125,-1.574803149606299%,127,125,129,120,6402,2613087,32541755,3940661
MDIA,216,4.854368932038835%,206,199,220,198,11141,2582759,53873404,8470556
BRMS,675,-2.1739130434782608%,690,675,685,655,18150,2556461,171275554,95704227
MGNA,142,4.411764705882353%,136,183,183,140,23511,2442617,40480199,484380
BBRI,3270,-1.5060240963855422%,3320,3320,3320,3250,36175,2173036,711339315,490641956
POLA,76,7.042253521126761%,71,73,86,73,12854,2169246,17521499,254682
MSKY,73,-10.975609756097562%,82,78,79,72,7241,2035278,15344139,145589
