Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
AYLS,198,34.69387755102041%,147,173,198,166,14550,1039165,19306413,168978
ASPI,635,24.509803921568626%,510,540,635,510,1916,87551,5228633,434220
TEBE,1965,18.731117824773413%,1655,1650,2060,1650,18451,701005,136160084,2525025
POLA,85,18.055555555555554%,72,73,92,71,8735,1998824,17001604,284841
FILM,790,16.176470588235293%,680,680,830,680,14440,661102,51449024,8601178
SINI,16800,16.06217616580311%,14475,14425,16800,14250,14662,207536,329366400,20202000
FUJI,294,15.748031496062993%,254,254,316,254,4906,235984,6827302,382200
SRSN,116,14.85148514851485%,101,101,118,100,25855,8282888,91398613,698320
NRCA,610,12.962962962962962%,540,540,630,540,4153,274756,16287523,1522718
SQMI,98,12.643678160919542%,87,86,104,83,20946,8528221,81418613,1522684
SSMS,1155,11.057692307692307%,1040,1035,1165,1025,2320,156049,16970962,11001375
MOLI,350,10.759493670886076%,316,312,350,310,1746,152891,5107192,953413
LAPD,86,8.860759493670885%,79,79,91,79,24639,5298443,46050854,341106
PADA,206,8.421052631578947%,190,191,206,191,3194,369280,7356752,648900
ASLI,390,8.333333333333332%,360,360,450,356,26884,3366954,140661695,2437500
DIVA,147,8.088235294117647%,136,149,165,142,11881,990691,15454946,210000
NASI,174,8.074534161490684%,161,165,180,162,3416,480789,8091725,140488
JARR,4190,7.712082262210797%,3890,3870,4600,3870,29843,767161,329595700,38676487
NATO,1055,7.653061224489796%,980,980,1055,940,289,4313,418774,8441173
DEWI,183,7.647058823529412%,170,170,183,168,6366,941243,16542556,366000
TRIM,850,7.59493670886076%,790,795,930,790,1036,51580,4416538,6042905
ICON,157,7.534246575342466%,146,145,190,145,37179,4695823,79691284,171091
SSTM,462,7.441860465116279%,430,432,490,430,644,4751,218352,540960
KETR,990,7.027027027027027%,925,935,1060,930,11575,701793,70237417,2812850
KKES,92,6.976744186046512%,86,85,94,83,4099,778202,7067420,138000
INET,338,6.962025316455696%,316,314,340,314,23124,4775372,157572414,7563692
PGUN,10050,6.914893617021277%,9400,9400,11200,9300,1989,8758,9178903,57665381
HOPE,224,6.666666666666667%,210,218,228,216,2171,326528,7280225,477201
RISE,845,6.289308176100629%,795,795,860,790,757,19747,1637038,13687817
MEDS,86,6.172839506172839%,81,81,97,81,29890,5628531,50706718,134375
FAST,452,6.103286384976526%,426,426,490,424,18016,1294213,60640903,2044672
MMLP,320,5.960264900662252%,302,300,322,300,915,39497,1230502,2204523
SMBR,178,5.952380952380952%,168,168,196,167,6328,793095,14517897,1767991
NOBU,540,5.88235294117647%,510,515,550,500,2021,299862,15333564,3997976
SMAR,6400,5.785123966942149%,6050,6050,6675,6000,377,2301,1420485,18382038
MICE,560,5.6603773584905674%,530,570,570,530,67,142,7765,336000
APII,206,5.641025641025641%,195,198,210,191,817,47688,949798,221607
MARK,1245,5.508474576271186%,1180,1195,1265,1155,1413,116067,13992910,4731000
VKTR,770,5.47945205479452%,730,730,775,725,7484,554378,41849027,33687500
MAPI,1455,5.434782608695652%,1380,1380,1490,1370,3821,124396,17959430,24153000
PTPS,163,5.161290322580645%,155,156,163,154,536,21240,337714,353305
SEMA,246,5.128205128205128%,234,236,282,222,9429,585589,14997294,331426
BUKK,1035,5.0761421319796955%,985,985,1095,985,305,4457,459572,2732868
CUAN,945,5%,900,905,965,905,34077,4996916,469466752,106235861
ARTA,2340,4.932735426008969%,2230,2240,2390,2170,58,308,69753,1045218
RONY,1490,4.929577464788732%,1420,1435,1590,1435,200,695,105855,1862500
PTRO,5325,4.926108374384237%,5075,5125,5400,5125,14654,424094,224534288,53708216
AIMS,505,4.771784232365145%,482,488,550,488,449,6542,338656,111100
CRSN,132,4.761904761904762%,126,128,144,125,520,32831,432712,381744
PTBA,3140,4.666666666666667%,3000,3010,3140,2990,16543,493915,152566278,36174870
NICK,2780,4.511278195488721%,2660,2660,2900,2600,95,430,118039,1810197
AREA,328,4.45859872611465%,314,318,360,306,2339,112708,3786176,832989
POLI,940,4.444444444444445%,900,910,940,850,46,127,11408,1889895
ERAL,332,4.40251572327044%,318,318,332,318,1014,97784,3219453,1722250
OASA,286,4.37956204379562%,274,266,286,266,1098,104846,2888111,1815305
GZCO,192,4.3478260869565215%,184,184,195,183,1700,188738,3574723,1152000
YELO,96,4.3478260869565215%,92,91,97,90,18562,1027790,9763545,183626
DMAS,196,4.25531914893617%,188,189,197,189,10105,2109812,41016489,9446830
HALO,74,4.225352112676056%,71,71,80,70,9136,870042,6547374,449826
ERAA,620,4.201680672268908%,595,600,640,600,15075,2629103,163507840,9889000
BEST,126,4.132231404958678%,121,122,127,119,1244,269124,3335265,1215561
CINT,202,4.123711340206185%,194,204,230,200,4269,171922,3728055,202000
DMND,635,4.098360655737705%,610,610,640,610,74,775,48737,6012408
SIMP,635,4.098360655737705%,610,610,635,610,1562,141775,8907710,9843332
DSNG,1660,4.075235109717868%,1595,1595,1700,1595,2343,66836,11120761,17595738
PIPA,180,4.046242774566474%,173,170,184,165,7155,931524,16474629,616697
MBMA,520,4%,500,515,530,505,10258,1236559,64097730,56157618
ADMR,1570,3.9735099337748347%,1510,1510,1590,1505,7740,400315,62021850,64185260
DKFT,665,3.90625%,640,645,670,645,628,39889,2631364,3749434
JAWA,160,3.896103896103896%,154,151,167,150,2947,218424,3524071,2597272
TOBA,535,3.8834951456310676%,515,515,535,515,1059,63084,3317704,4450939
FORE,810,3.8461538461538463%,780,780,825,780,2002,67396,5444193,7223871
ARTO,945,3.8461538461538463%,910,910,955,910,2829,130142,12250769,12968016
DGNS,278,3.731343283582089%,268,266,280,266,74,3606,98852,382250
TCPI,1705,3.64741641337386%,1645,1635,1730,1630,1927,28179,4758029,8525000
BAIK,240,3.4482758620689653%,232,232,250,230,1528,92399,2204275,270599
GTRA,244,3.389830508474576%,236,238,248,234,112,2019,48845,462228
ASGR,2160,3.349282296650718%,2090,2090,2160,2080,1059,11643,2465937,2913366
BWPT,124,3.3333333333333335%,120,119,127,118,5337,1680003,20690072,3909136
DSFI,93,3.3333333333333335%,90,90,99,89,6666,419819,3947368,172714
BATR,93,3.3333333333333335%,90,91,94,90,112,5339,49201,281328
LION,374,3.314917127071823%,362,358,384,358,102,456,17069,194540
TLDN,635,3.2520325203252036%,615,615,635,610,469,9497,596734,8221047
AKSI,382,3.2432432432432434%,370,372,410,362,1246,34027,1322845,275040
DEWA,382,3.2432432432432434%,370,368,384,366,34867,7919541,298078474,15542600
DSSA,1120,3.225806451612903%,1085,1095,1130,1095,33267,2435782,272251334,215754650
PDES,388,3.1914893617021276%,376,370,390,370,436,15945,605302,277420
GGRP,328,3.1446540880503147%,318,318,328,318,217,6958,226754,3972531
PKPK,4300,3.117505995203837%,4170,4170,4330,4140,735,13029,5495432,5160000
MAPA,665,3.10077519379845%,645,645,675,645,1325,91622,6053303,18955160
YPAS,1350,3.0534351145038165%,1310,1315,1475,1315,287,1032,143760,901800
POWR,1015,3.0456852791878175%,985,990,1020,965,2308,102344,10214717,16328463
PSDN,136,3.0303030303030303%,132,132,144,132,2320,154211,2136366,195840
IRSX,410,3.015075376884422%,398,402,420,392,3897,456239,18526139,2539969
COCO,137,3.007518796992481%,133,133,139,131,9389,3140086,42546318,1950582
KICI,282,2.9197080291970803%,274,276,296,276,1032,59528,1706503,77832
KIJA,181,2.840909090909091%,176,175,188,174,14519,3205773,58095590,3769305
RANC,550,2.803738317757009%,535,550,550,545,15,138,7580,860468
RSCH,442,2.7906976744186047%,430,430,446,428,4263,264010,11497904,1171300
DAAZ,1670,2.769230769230769%,1625,1630,1800,1625,311,3892,661423,3334990
CGAS,149,2.7586206896551726%,145,147,157,145,1266,65864,1002573,263953
AGII,3390,2.727272727272727%,3300,3300,3580,3260,1125,27031,9218305,10395977
ADRO,2670,2.6923076923076925%,2600,2600,2700,2590,10879,433510,115399226,76897320
AHAP,115,2.6785714285714284%,112,112,120,111,4647,676735,7799435,563500
MBTO,155,2.6490066225165565%,151,151,155,151,372,35360,538879,165850
SAMF,316,2.5974025974025974%,308,308,318,308,61,380,11911,3239000
SKRN,408,2.512562814070352%,398,398,412,390,134,1998,79606,3060000
BDKR,164,2.5%,160,160,164,158,2317,209802,3380006,774917
BNBA,820,2.5%,800,810,820,800,110,2007,163958,2750378
YOII,85,2.4096385542168677%,83,83,86,83,420,54246,457018,333794
BRAM,4700,2.3965141612200433%,4590,4590,4700,4570,11,13,6028,2115268
GRIA,171,2.3952095808383236%,167,166,178,165,862,66634,1135684,1261248
LABS,172,2.380952380952381%,168,168,180,168,1080,66088,1148945,679400
CLEO,432,2.3696682464454977%,422,422,440,422,1602,173354,7492941,10368000
UVCR,174,2.3529411764705883%,170,175,177,165,5098,1038747,17786027,348025
PTIS,266,2.307692307692308%,260,260,270,258,112,1293,33803,146344
JAST,90,2.272727272727273%,88,88,90,87,498,35369,312661,97432
INDY,2760,2.2222222222222223%,2700,2700,2770,2700,2865,111067,30456188,14380130
JECX,1380,2.2222222222222223%,1350,1350,1395,1340,897,16303,2235358,4489447
SMGR,1620,2.2082018927444795%,1585,1590,1625,1580,3038,144611,23275329,10937495
SDMU,93,2.197802197802198%,91,91,93,90,588,81483,743807,209314
SGER,700,2.18978102189781%,685,685,715,685,3028,487418,34161534,10910837
GOLD,282,2.1739130434782608%,276,278,298,272,111,1957,54584,360192
NCKL,940,2.1739130434782608%,920,920,945,915,3991,323285,30154696,59312684
AMFG,3320,2.1538461538461537%,3250,3330,3330,3310,4,4,1329,1440880
UANG,4300,2.137767220902613%,4210,4350,4630,4210,4948,40495,17950105,5203000
BMRI,4350,2.112676056338028%,4260,4340,4350,4300,17362,1105809,478987829,401940000
EMTK,494,2.066115702479339%,484,484,494,482,2587,264920,12944942,30344667
LTLS,995,2.051282051282051%,975,970,1005,970,131,879,86639,1552200
SMDR,398,2.051282051282051%,390,388,400,388,2011,240218,9494095,6517489
BBKP,51,2%,50,50,51,50,914,592851,2994611,9476814
MINE,306,2%,300,300,310,290,685,29813,895213,1249837
APIC,412,1.9801980198019802%,404,404,414,396,492,22632,917187,4847721
FPNI,515,1.9801980198019802%,505,505,530,500,720,33979,1743284,2866703
KOPI,206,1.9801980198019802%,202,206,240,197,3283,130684,2863135,143637
KLBF,775,1.9736842105263157%,760,760,775,760,6578,678800,51988902,36280378
SMKL,156,1.9607843137254901%,153,154,158,152,59,1685,26311,533221
KKGI,312,1.9607843137254901%,306,306,314,304,829,46439,1443917,1560000
KONI,2090,1.951219512195122%,2050,2050,2090,2010,21,75,15597,652080
BUKA,105,1.9417475728155338%,103,103,107,102,1375,742317,7749473,10832545
GPRA,105,1.9417475728155338%,103,102,105,100,1900,1111508,11388750,449049
CENT,106,1.9230769230769231%,104,104,110,100,2180,199112,2110376,3305447
AMRT,1325,1.9230769230769231%,1300,1300,1325,1295,3542,212718,27943872,55019965
RMKO,326,1.875%,320,316,332,312,766,35156,1132576,514011
BOLT,820,1.8633540372670807%,805,805,825,805,72,612,50027,1921875
ANTM,3280,1.8633540372670807%,3220,3250,3290,3190,16985,712113,231338078,78820908
