Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
BUMI,200,-0.9900990099009901%,202,202,206,196,34564,23935592,478487547,74267078
CUAN,955,6.111111111111111%,900,905,965,905,23512,3628358,340066203,107360050
AMMN,4930,-4.271844660194175%,5150,5125,5200,4930,18193,636547,318195637,357514813
BMRI,4340,1.8779342723004695%,4260,4340,4350,4300,9756,651436,281796918,401016000
DEWA,376,1.6216216216216217%,370,368,384,366,25292,5688266,213347392,15298475
BBRI,3350,0.6006006006006006%,3330,3350,3360,3330,9902,635796,212565446,502645429
BBCA,6350,0.3952569169960474%,6325,6400,6400,6350,7428,331611,211514080,774968602
DSSA,1120,3.225806451612903%,1085,1095,1130,1095,21000,1880332,210064161,215754650
JARR,4480,15.167095115681233%,3890,3870,4590,3870,14991,424403,180935134,41353379
BULL,394,-2.955665024630542%,406,406,418,382,19773,4304224,171651917,6104808
SINI,15625,7.9447322970639025%,14475,14425,15700,14250,7268,89195,136311658,18789063
PTRO,5325,4.926108374384237%,5075,5125,5375,5125,9455,258233,136087620,53708216
ANTM,3250,0.9316770186335404%,3220,3250,3270,3190,9827,384552,124144444,78099985
ENRG,1295,-5.128205128205128%,1365,1350,1380,1260,13444,828391,107768578,34401084
BRMS,725,-0.684931506849315%,730,730,740,715,10918,1354778,98530423,102793429
TPIA,1845,1.095890410958904%,1825,1830,1860,1810,10031,519938,95461520,159613801
ERAA,620,4.201680672268908%,595,600,630,600,9451,1464517,90731349,9889000
TLKM,2620,-1.5037593984962405%,2660,2630,2640,2610,6867,338526,88710267,259543007
INET,326,3.1645569620253164%,316,314,332,314,11276,2409603,78563348,7295158
ISAT,2360,0%,2360,2360,2420,2320,4199,305838,72763533,76111914
BRPT,1625,1.5625%,1600,1605,1670,1600,7431,403960,66012084,152339229
BBNI,3740,0.2680965147453083%,3730,3740,3770,3720,2944,153674,57485401,138097031
KETR,1005,8.64864864864865%,925,935,1060,930,9487,571105,57351702,2855469
ADRO,2680,3.076923076923077%,2600,2600,2690,2590,5735,215939,57209719,77185324
TINS,4690,0.2136752136752137%,4680,4690,4730,4670,3566,121609,57114294,34929964
ICON,182,24.65753424657534%,146,145,187,145,24274,3262556,55578366,198335
PTBA,3070,2.3333333333333335%,3000,3010,3080,2990,5259,178647,54543795,35368424
BNBR,90,0%,90,89,92,86,15971,5958194,52899077,23700300
TEBE,1910,15.407854984894259%,1655,1650,1970,1650,7336,283617,52617688,2454350
MBMA,515,3%,500,515,530,505,7369,933598,48421404,55617641
BUVA,690,-1.4285714285714286%,700,700,715,660,7391,702691,47876055,16985768
INCO,4740,-1.8633540372670807%,4830,4850,4890,4720,4655,98001,46815599,49958579
MEDS,88,8.641975308641975%,81,81,97,81,25625,5062154,45840959,137500
ASII,4910,1.2371134020618557%,4850,4870,4920,4860,3801,87293,42676750,198774246
AADI,12400,0%,12400,12400,12475,12300,2832,33797,41894738,96557458
LAPD,87,10.126582278481013%,79,79,91,79,21181,4711418,40980914,345072
EMAS,7500,0.33444816053511706%,7475,7475,7575,7300,3554,54801,40937415,110485245
ASLI,420,16.666666666666664%,360,360,422,356,8115,1014101,39955576,2625000
IATA,115,-0.8620689655172413%,116,116,121,113,6704,3118244,36354405,3596720
MDKA,2850,0%,2850,2870,2890,2830,3389,120001,34288002,69748004
MGNA,212,6.532663316582915%,199,222,256,190,16106,1520912,34273602,723158
FILM,795,16.911764705882355%,680,680,805,680,8630,444407,34072079,8655616
SRSN,109,7.920792079207921%,101,101,111,100,9325,3030603,32247580,656180
ADMR,1560,3.3112582781456954%,1510,1510,1565,1505,4413,205065,31316073,63776437
PGAS,1510,-0.6578947368421052%,1520,1520,1535,1505,3247,206403,31276480,36604677
KIJA,180,2.272727272727273%,176,175,185,174,8068,1594367,28651480,3748480
DMAS,194,3.1914893617021276%,188,189,196,189,6335,1444407,27976725,9350434
BIPI,139,0.7246376811594203%,138,136,141,136,6186,1951836,26885257,8855717
MDIA,199,1.015228426395939%,197,200,206,192,5577,1349448,26767691,7803892
COCO,137,3.007518796992481%,133,133,138,131,6367,1915615,25788016,1950582
MEDC,1550,-0.9584664536741214%,1565,1565,1570,1540,3962,165345,25627728,38961158
UNTR,26025,-0.19175455417066153%,26075,26025,26400,25925,2135,9804,25568505,97076767
PANI,5425,0%,5425,5425,5500,5225,2247,47204,25367865,98678049
KLBF,765,0.6578947368421052%,760,760,775,760,3325,317999,24325137,35812245
BYAN,11650,2.643171806167401%,11350,11350,11800,11350,2457,20702,23915840,388333353
KOTA,193,0%,193,191,198,187,7646,1221017,23497064,2035414
SGER,695,1.4598540145985401%,685,685,715,685,2120,317876,22274577,10832902
ESSA,605,0%,605,610,620,605,3127,360039,21992273,10422320
CPIN,3110,-0.3205128205128205%,3120,3120,3150,3090,2943,69386,21581235,50997780
PADI,67,-2.898550724637681%,69,70,70,65,6673,3219263,21496350,909103
BRIS,1665,0%,1665,1660,1690,1655,5542,126621,21081713,76037016
SQMI,94,8.045977011494253%,87,86,94,83,5665,2360218,20822745,1460534
FAST,464,8.92018779342723%,426,426,478,424,6439,449365,20695914,2098955
CDIA,655,1.550387596899225%,645,650,660,635,3474,312154,20238140,81763240
JPFA,2300,0%,2300,2300,2340,2270,2134,84638,19502639,26971123
NICL,452,-0.4405286343612335%,454,454,466,448,2399,409181,18723446,4807311
VKTR,750,2.73972602739726%,730,730,755,725,3649,250803,18642624,32812500
INDF,7150,-1.0380622837370241%,7225,7225,7225,7125,2247,25518,18251858,62780049
INDY,2750,1.8518518518518516%,2700,2700,2770,2700,1715,64428,17615161,14328028
RAJA,765,1.3245033112582782%,755,755,775,745,4042,225656,17135361,16168591
PSAB,555,0%,555,555,560,550,2046,307935,17099348,14685300
ARKO,3860,-2.770780856423174%,3970,3870,4070,3780,2048,43238,16745358,11303991
TAPG,2250,1.809954751131222%,2210,2200,2290,2200,2644,74002,16702173,44668215
DEFI,111,-6.722689075630252%,119,116,122,107,9747,1368338,15510423,76287
NCKL,930,1.0869565217391304%,920,920,940,915,2408,167231,15503493,58681698
INKP,8675,0.872093023255814%,8600,8600,8850,8600,1290,17407,15187053,47460777
ARCI,1330,0%,1330,1330,1335,1305,3866,114599,15129070,33562550
IMPC,1700,0%,1700,1705,1725,1675,2480,88480,15033336,93341900
RMKE,400,0%,400,400,406,392,2838,374791,14962287,8750000
KPIG,72,0%,72,71,75,70,4128,2050769,14910738,7726525
BWPT,125,4.166666666666666%,120,119,127,118,3726,1187863,14597359,3940661
