#,Data,Source (where you get it),Capture Time (wib),Format (text/image),Used by,
1,"Macro indexes, yield, price, etc",Portfolio & Watchlist - Investing.com,12.30 PM MIDDAY. 21:30 PM EOD,IMAGE,RUN AIRS MACRO DAILY,
2,MOTION TRADE - RANKING - STOCK RANKING - TOP GAINER/LOSER - GAINER (%),MOTION TRADE - RANKING - STOCK RANKING - TOP GAINER/LOSER - GAINER (%),12.30 PM MIDDAY. 21:30 PM EOD,IMAGE,RUN AIRS SHORTLIST,
3,MOTION TRADE - RANKING - STOCK RANKING - TOP VOL/VAL/FREQ,MOTION TRADE - RANKING - STOCK RANKING - TOP VOL/VAL/FREQ,12.30 PM MIDDAY. 21:30 PM EOD,IMAGE,RUN AIRS SHORTLIST,
4,STOCKBIT FOREIGN ACTIVITY MIDDAY,Stockbit Stream - https://stockbit.com/Stockbit,13:00 PM MIDDAY,IMAGE,RUN AIRS SHORTLIST,
5,AI BIG CAP SCREENER VER 3,Stockbit Screener | Stockbit - Investasi Saham Bersama Komunitas Saham Terbesar di Indonesia,12.30 PM MIDDAY. 21:30 PM EOD,IMAGE,RUN AIRS WATCHLIST,
6,AI BANDAR SCREENER VER 3,Stockbit Screener | Stockbit - Investasi Saham Bersama Komunitas Saham Terbesar di Indonesia,12.30 PM MIDDAY. 21:30 PM EOD,IMAGE,RUN AIRS WATCHLIST,
7,"AI BANDAR ""CASH VC MARKET CAP"" VER 2",Stockbit Screener | Stockbit - Investasi Saham Bersama Komunitas Saham Terbesar di Indonesia,12.30 PM MIDDAY. 21:30 PM EOD,IMAGE,RUN AIRS WATCHLIST,
8,"AI BANDAR SCREENER ""BEAST FORTRESS""",Stockbit Screener | Stockbit - Investasi Saham Bersama Komunitas Saham Terbesar di Indonesia,12.30 PM MIDDAY. 21:30 PM EOD,IMAGE,RUN AIRS WATCHLIST,
9,AI VCP BASE HUNTER VER 1,Stockbit Screener | Stockbit - Investasi Saham Bersama Komunitas Saham Terbesar di Indonesia,12.30 PM MIDDAY. 21:30 PM EOD,IMAGE,RUN AIRS WATCHLIST,
10,AI TRIPLE TAPE LEADER VER 1,Stockbit Screener | Stockbit - Investasi Saham Bersama Komunitas Saham Terbesar di Indonesia,12.30 PM MIDDAY. 21:30 PM EOD,IMAGE,RUN AIRS WATCHLIST,
11,AI STRONGEST INSIDER PRINT,Stockbit Screener | Stockbit - Investasi Saham Bersama Komunitas Saham Terbesar di Indonesia,12.30 PM MIDDAY. 21:30 PM EOD,IMAGE,RUN AIRS WATCHLIST,
12,AI STRONGEST FOREIGN PRINT,Stockbit Screener | Stockbit - Investasi Saham Bersama Komunitas Saham Terbesar di Indonesia,12.30 PM MIDDAY. 21:30 PM EOD,IMAGE,RUN AIRS WATCHLIST,
13,WATCHLIST,Stockbit Watchlist | Stockbit - Investasi Saham Bersama Komunitas Saham Terbesar di Indonesia,12.30 PM MIDDAY. 21:30 PM EOD,IMAGE,RUN AIRS SHORTLIST,"to save token burnout, i write down the eight screener result into a new watchlist, then upload the watchlist into AIRS SHORTLIST session before MIDDAY and EOD"
14,CHART (1H),https://stockbit.com/ - CHARTBIT,12.30 PM MIDDAY,IMAGE,RUN AIRS MIDDAY,
15,CHART (D),https://stockbit.com/ - CHARTBIT,21:30 PM EOD,IMAGE,RUN AIRS [DATE] ,
16,CHART (D),https://stockbit.com/ - CHARTBIT,AS REQUESTED,IMAGE,RUN AIRS DEEP DIVE [TICKER],
17,CHART (W),https://stockbit.com/ - CHARTBIT,AS REQUESTED,IMAGE,RUN AIRS DEEP DIVE [TICKER],
18,CHART (M),https://stockbit.com/ - CHARTBIT,AS REQUESTED,IMAGE,RUN AIRS DEEP DIVE [TICKER],
19,BROKER SUMMARY - LAST 7D,https://stockbit.com/ - CHARTBIT - (TOGGLE RIGHT SIDE BAR) - BANDAR DETECTOR,12.30 PM MIDDAY,IMAGE,RUN AIRS MIDDAY,
20,BROKER SUMMARY - LATEST,https://stockbit.com/ - CHARTBIT - (TOGGLE RIGHT SIDE BAR) - BANDAR DETECTOR,21:30 PM EOD,IMAGE,RUN AIRS [DATE] ,
21,BROKER SUMMARY - LATEST,https://stockbit.com/ - CHARTBIT - (TOGGLE RIGHT SIDE BAR) - BANDAR DETECTOR,12.30 PM MIDDAY,IMAGE,RUN AIRS DEEP DIVE [TICKER],
22,BROKER SUMMARY - LAST 7D,https://stockbit.com/ - CHARTBIT - (TOGGLE RIGHT SIDE BAR) - BANDAR DETECTOR,12.30 PM MIDDAY,IMAGE,RUN AIRS DEEP DIVE [TICKER],
23,BROKER SUMMARY - LAST 1M,https://stockbit.com/ - CHARTBIT - (TOGGLE RIGHT SIDE BAR) - BANDAR DETECTOR,12.30 PM MIDDAY,IMAGE,RUN AIRS DEEP DIVE [TICKER],
24,ECONOMIC CALENDAR - (TAB) TODAY,Economic Calendar - Investing.com,21:30 PM EOD,IMAGE,RUN AIRS MACRO DAILY,
25,ECONOMIC CALENDAR - (TAB) THIS WEEK,Economic Calendar - Investing.com,12:30 PM SUNDAY,IMAGE,RUN AIRS MACRO WEEKLY,
26,STOCKBIT - CALENDAR - TODAY,Calendar Corporate Action Indonesia | Stockbit - Investasi Saham Bersama Komunitas Saham Terbesar di Indonesia,12.30 PM MIDDAY,IMAGE,RUN AIRS MACRO DAILY,
27,STOCKBIT - CALENDAR - ECONOMIC,Economic Calendar Indonesia | Stockbit - Investasi Saham Bersama Komunitas Saham Terbesar di Indonesia,12:30 PM SUNDAY,IMAGE,RUN AIRS MACRO WEEKLY,
28,STOCKBIT - CALENDAR - DIVIDEND,Calendar Dividend Indonesia | Stockbit - Investasi Saham Bersama Komunitas Saham Terbesar di Indonesia,12:30 PM SUNDAY,IMAGE,RUN AIRS MACRO WEEKLY,
