Symbol,Price,Change_pct,Bid,Ask,Value_B,Lot,Freq,Avg,Prev,Open,High,Low,Price_MA20,52W_High,MarketCap_B,FreeFloat_pct,RSI14,Value_MA20,Volume_MA50,Bandar_AccumDist,Bandar_Value_B,Bandar_Value_MA10_B,Net_Insider_3M_pct,NFF_1W_B,NFF_1M_B,RSR_pct,Shareholders_chg_3M_pct,NFB_Streak,Div_Yield_pct
AALI,8400,-2.33,8425,8450,6.53,7.68K,951,8488,8450,8600,8625,8400,8227.50,9000.00,16311.73,20.27,64.93,14413401750.00,1415502.00,3.42,-800.49,-808.24,,22.92,13.40,79,-0.27,5.00,5.40
AMMN,5075,-0.49,5025,5075,261.36,517.46K,19.35K,5051,5100,5100,5125,4970,4534.00,8500.00,366217.00,22.75,69.08,322681081750.00,75871038.00,39.72,-5305.74,-5445.06,,155.49,310.28,57,44.44,1.00,
ANTM,3210,0.63,3260,3270,232.18,720.41K,15.36K,3223,3190,3190,3270,3160,3148.50,4970.00,78580.60,34.84,60.17,373794192900.00,104671702.00,-50.66,-1387.65,-1362.14,,455.74,758.17,43,2.29,,6.42
AYAM,496,2.90,492,500,18.10,367.88K,1.67K,492,482,482,500,480,482.90,530.00,2000.00,23.47,65.42,12158473155.00,31636376.00,-8.14,10.15,10.34,,3.35,5.44,93,-45.86,6.00,
BBRI,3330,-2.06,3330,3340,360.87,1.07M,23.15K,3343,3400,3400,3400,3320,3275.50,4270.00,503175.89,42.53,55.79,659255208250.00,213269906.00,29.83,-29539.66,-29520.25,,20.34,1838.45,53,3.60,,10.42
BRMS,725,-0.68,735,740,228.99,3.12M,23.63K,732,730,730,740,720,711.00,1385.00,104211.27,50.93,61.33,266630458000.00,404835254.00,47.57,2190.89,2156.39,,98.43,108.87,69,-1.12,2.00,
EKAD,402,-2.43,400,402,1.66,41.13K,1.09K,403,412,412,414,398,392.60,466.00,1404.54,16.83,62.08,10409638970.00,13341054.00,-5.41,-2.71,-2.13,,-0.48,2.94,97,26.74,,2.24
GULA,830,0.00,820,830,9.26,112.42K,790,824,830,835,835,815,780.25,870.00,888.40,25.68,61.93,18969221900.00,31742060.00,4.51,-97.55,-99.92,6.93,12.20,21.19,97,-19.45,7.00,
LSIP,1700,-0.29,1685,1690,6.12,35.92K,1.43K,1704,1705,1720,1720,1690,1568.25,1810.00,11491.64,40.01,68.01,21877533375.00,9691018.00,14.64,-487.22,-506.47,,20.50,23.40,86,5.47,5.00,4.93
MARK,1140,2.70,1145,1155,20.68,182.29K,1.91K,1135,1110,1105,1150,1105,1087.75,1140.00,4389.00,19.73,68.85,14820056925.00,17071170.00,-11.37,-47.71,-46.63,,-0.34,8.73,88,-9.17,1.00,7.79
PKPK,4200,-1.18,4180,4210,1.81,4.29K,319,4212,4250,4250,4330,4170,3975.50,4790.00,5040.00,18.83,58.97,7000369700.00,1487522.00,-10.12,-42.67,-43.92,75.00,2.71,5.89,99,-3.22,,
PTBA,3040,-1.30,3020,3030,43.04,141.29K,4.89K,3046,3080,3080,3090,3020,2730.00,3220.00,34792.39,32.76,75.35,141939766000.00,26204400.00,2.95,-1373.77,-1505.62,,266.65,395.50,79,7.42,11.00,3.81
SINI,13175,0.57,13450,13500,133.77,100.32K,6.15K,13333,13750,13100,13825,12975,11436.25,15975.00,16053.38,29.59,65.60,156888064125.00,6886116.00,-6.38,-544.67,-510.59,7.37,41.89,194.89,98,55.02,3.00,
SRTG,1790,-0.56,1785,1790,1.91,10.69K,602,1788,1800,1805,1805,1770,1855.00,2040.00,24213.23,9.51,44.86,10356532600.00,5348842.00,26.82,-501.76,-503.44,0.02,-3.83,48.83,74,-12.88,,5.77
TAPG,2220,-1.33,2200,2220,17.95,81.29K,2.46K,2208,2250,2250,2250,2180,2146.25,2480.00,44271.16,11.40,59.12,61727207500.00,20156470.00,-27.95,-251.76,-268.76,13.94,24.63,235.45,89,-2.25,2.00,9.01
TOTL,1580,4.29,1580,1590,10.76,68.65K,2.12K,1568,1515,1515,1615,1510,1487.00,1570.00,5302.55,30.22,64.94,6270041975.00,3451198.00,-15.44,-46.07,-45.71,-0.01,7.32,4.22,91,-8.29,6.00,7.07
UNTR,26275,-0.47,26250,26275,43.98,16.73K,3.39K,26274,26400,26400,26500,26050,24925.00,32825.00,97356.53,32.83,62.15,110249120375.00,4278232.00,32.84,300.71,237.94,1.77,56.43,45.39,56,17.99,8.00,6.37
