Symbol,Price,Change_pct,Bid,Ask,Value_B,Lot,Freq,Avg,Prev,Open,High,Low,Price_MA20,52W_High,MarketCap_B,FreeFloat_pct,RSI14,Value_MA20,Volume_MA50,Bandar_AccumDist,Bandar_Value_B,Bandar_Value_MA10_B,Net_Insider_3M_pct,NFF_1W_B,NFF_1M_B,RSR_pct,Shareholders_chg_3M_pct,NFB_Streak,Div_Yield_pct
AGII,3020,-3.51,3320,3350,310.09M,1.01K,109,3067,3150,3130,3160,2970,,3700.00,10119.98,7.25,68.10,733698405000.00,277632.00,22.84,94.65,94.06,15.00,-0.04,-0.13,95,-2.35,1.00,0.35
AMMN,5075,-0.49,5100,5125,261.36,517.46K,19.35K,5051,5050,5100,5125,4970,,8500.00,373468.82,22.75,71.11,339747591775.00,76702170.00,5.06,-5273.19,-5399.63,,197.54,361.55,58,44.44,,
ANTM,3210,0.63,3210,3220,232.18,720.41K,15.36K,3223,3270,3190,3270,3160,,4970.00,77379.06,34.84,56.15,383128885550.00,106121182.00,11.57,-1306.81,-1350.02,,307.77,984.13,43,2.29,2.00,6.52
AUTO,3330,0.91,3320,3330,5.38,16.16K,585,3329,3360,3320,3360,3290,,3520.00,16049.71,19.95,68.84,17405253250.00,3342272.00,-6.53,-80.69,-79.64,,-3.04,4.88,86,-13.25,,6.88
AYAM,496,2.90,500,515,18.10,367.88K,1.67K,492,500,482,500,480,,555.00,2060.00,23.47,69.95,12848374320.00,31999220.00,-37.72,7.95,9.99,,7.81,10.31,94,-45.86,8.00,
BBRI,3330,-2.06,3320,3330,360.87,1.07M,23.15K,3343,3320,3400,3400,3320,,4270.00,504691.48,42.53,56.44,655079970350.00,210487744.00,8.96,-29583.16,-29519.51,,-221.77,1729.83,38,3.60,,10.39
BDMN,4420,-0.23,4400,4420,2.39,5.42K,323,4411,4430,4420,4440,4380,,5000.00,43199.10,7.54,54.71,10662275800.00,2077134.00,15.54,-441.90,-440.54,,-5.55,8.42,91,-2.52,,3.22
BRMS,725,-0.68,730,735,228.99,3.12M,23.63K,732,735,730,740,720,,1385.00,103502.35,50.93,59.97,52713746573225.00,406235800.00,40.03,2261.41,2162.37,,307.51,281.99,59,-1.12,4.00,
BSML,530,-0.93,545,550,6.81,124.29K,977,548,550,535,555,530,,555.00,1017.62,25.79,67.75,6104180275.00,13734228.00,-12.21,29.58,30.36,20.51,1.08,1.04,97,-5.64,2.00,
ENRG,1365,-4.55,1375,1380,76.69,550.22K,10.16K,1394,1430,1440,1455,1365,,2420.00,36260.60,40.00,50.30,127341406200.00,99236274.00,-21.40,666.38,684.27,1.60,50.84,28.23,82,17.09,1.00,
GULA,830,0.00,820,830,20.45,244.48K,1.48K,837,830,825,855,820,,870.00,888.40,25.68,61.93,18446303975.00,31651900.00,-23.47,-99.13,-99.61,6.93,11.74,20.80,96,-19.45,1.00,
MGLV,14575,-0.51,14550,14575,6.38,4.29K,784,14837,14600,14650,15450,14425,,16450.00,27287.45,32.92,69.08,18186956375.00,1083196.00,-38.17,-61.32,-55.34,-15.67,6.59,23.28,100,100.72,2.00,
PGAS,1535,-0.97,1525,1530,27.67,179.7K,3.69K,1540,1530,1550,1555,1525,,2520.00,36847.09,43.03,49.03,53337531500.00,32235290.00,-17.00,-3668.34,-3662.49,,26.37,49.00,21,15.23,1.00,8.26
PKPK,4200,-1.18,4160,4170,1.81,4.29K,319,4212,4200,4250,4330,4170,,4790.00,5004.00,18.83,57.44,6996517300.00,1463386.00,-9.88,-42.85,-43.49,75.00,2.48,6.32,99,-3.22,2.00,
PTBA,3040,-1.30,3010,3020,43.04,141.29K,4.89K,3046,3020,3080,3090,3020,,3220.00,34561.98,32.76,72.75,144546591800.00,26591800.00,29.08,-1367.71,-1452.39,,174.73,388.74,78,7.42,,3.82
SINI,13175,0.57,14475,14500,133.77,100.32K,6.15K,13333,13350,13100,13825,12975,,15975.00,17406.19,29.59,70.40,164556882250.00,7117582.00,12.19,-540.86,-528.55,7.37,70.88,213.78,98,55.02,1.00,
TAPG,2220,-1.33,2200,2210,17.95,81.29K,2.46K,2208,2230,2250,2250,2180,,2480.00,43874.11,11.40,57.54,61855069150.00,20259794.00,-30.21,-262.12,-259.00,13.94,25.99,255.06,88,-2.25,4.00,9.10
ULTJ,1880,4.44,1885,1890,57.45,304.71K,5.12K,1885,1800,1860,1950,1825,,1995.00,19548.57,13.80,85.47,14082643225.00,4667602.00,19.82,-101.84,-93.85,,15.61,11.25,85,8.95,7.00,6.91
UNTR,26275,-0.47,26075,26100,43.98,16.73K,3.39K,26274,26100,26400,26500,26050,,32825.00,97263.27,32.83,61.79,109831116625.00,4301668.00,18.28,307.38,256.14,1.79,43.91,52.36,55,17.99,10.00,6.38
